*  Baseline Incidence
*                                             ====    ====
   This file contains data for cohorts from:  1890 to 2100
*                                             ====    ====
*  NOTE: The range of years must be entered above.
*
*  FORMAT OF HEADER: consecutive lines: (t1,a8), (t5,i1), (t1,a12), (t1,a3)
BASAL
LAT=1
WH MALE
coh/age 00-04       05-09       10-14       15-19       20-24       25-29       30-34       35-39       40-44       45-49       50-54       55-59       60-64       65-69       70-74       75-79       80-85       85+
1895    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00
1900    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00
1905    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00
1910    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00
1915    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00
1920    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00
1925    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00
1930    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00
1935    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00
1940    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00    0.00E+00
